row_var,col_var,row_label,col_label,pearson_r,spearman_r,n_complete,row_order,col_order,interpretation
mean_live_coral,mean_live_coral,Mean live coral,Mean live coral,1.0,1.0,2646,0,0,"This is the same indicator, so the correlation is 1.00."
mean_live_coral,mean_dead_coral,Mean live coral,Mean dead coral,0.082,0.316,2646,0,1,"Little linear association. Correlation indicates association, not causation."
mean_live_coral,hard_coral_cover,Mean live coral,Hard coral cover,0.67,0.672,1385,0,2,"Strong positive association. Correlation indicates association, not causation."
mean_live_coral,soft_coral_cover,Mean live coral,Soft coral cover,-0.037,-0.018,1385,0,3,"Little linear association. Correlation indicates association, not causation."
mean_live_coral,algae_cover,Mean live coral,Algae cover,-0.538,-0.561,1385,0,4,"Moderate negative association. Correlation indicates association, not causation."
mean_live_coral,mean_cots_per_tow,Mean live coral,Mean COTS per tow,-0.064,-0.073,2646,0,5,"Little linear association. Correlation indicates association, not causation."
mean_dead_coral,mean_live_coral,Mean dead coral,Mean live coral,0.082,0.316,2646,1,0,"Little linear association. Correlation indicates association, not causation."
mean_dead_coral,mean_dead_coral,Mean dead coral,Mean dead coral,1.0,1.0,2646,1,1,"This is the same indicator, so the correlation is 1.00."
mean_dead_coral,hard_coral_cover,Mean dead coral,Hard coral cover,0.157,0.311,1385,1,2,"Weak positive association. Correlation indicates association, not causation."
mean_dead_coral,soft_coral_cover,Mean dead coral,Soft coral cover,-0.056,-0.07,1385,1,3,"Little linear association. Correlation indicates association, not causation."
mean_dead_coral,algae_cover,Mean dead coral,Algae cover,-0.099,-0.22,1385,1,4,"Little linear association. Correlation indicates association, not causation."
mean_dead_coral,mean_cots_per_tow,Mean dead coral,Mean COTS per tow,0.232,0.312,2646,1,5,"Weak positive association. Correlation indicates association, not causation."
hard_coral_cover,mean_live_coral,Hard coral cover,Mean live coral,0.67,0.672,1385,2,0,"Strong positive association. Correlation indicates association, not causation."
hard_coral_cover,mean_dead_coral,Hard coral cover,Mean dead coral,0.157,0.311,1385,2,1,"Weak positive association. Correlation indicates association, not causation."
hard_coral_cover,hard_coral_cover,Hard coral cover,Hard coral cover,1.0,1.0,1385,2,2,"This is the same indicator, so the correlation is 1.00."
hard_coral_cover,soft_coral_cover,Hard coral cover,Soft coral cover,-0.091,0.01,1385,2,3,"Little linear association. Correlation indicates association, not causation."
hard_coral_cover,algae_cover,Hard coral cover,Algae cover,-0.73,-0.741,1385,2,4,"Strong negative association. Correlation indicates association, not causation."
hard_coral_cover,mean_cots_per_tow,Hard coral cover,Mean COTS per tow,-0.059,-0.092,1385,2,5,"Little linear association. Correlation indicates association, not causation."
soft_coral_cover,mean_live_coral,Soft coral cover,Mean live coral,-0.037,-0.018,1385,3,0,"Little linear association. Correlation indicates association, not causation."
soft_coral_cover,mean_dead_coral,Soft coral cover,Mean dead coral,-0.056,-0.07,1385,3,1,"Little linear association. Correlation indicates association, not causation."
soft_coral_cover,hard_coral_cover,Soft coral cover,Hard coral cover,-0.091,0.01,1385,3,2,"Little linear association. Correlation indicates association, not causation."
soft_coral_cover,soft_coral_cover,Soft coral cover,Soft coral cover,1.0,1.0,1385,3,3,"This is the same indicator, so the correlation is 1.00."
soft_coral_cover,algae_cover,Soft coral cover,Algae cover,-0.522,-0.459,1385,3,4,"Moderate negative association. Correlation indicates association, not causation."
soft_coral_cover,mean_cots_per_tow,Soft coral cover,Mean COTS per tow,0.036,-0.013,1385,3,5,"Little linear association. Correlation indicates association, not causation."
algae_cover,mean_live_coral,Algae cover,Mean live coral,-0.538,-0.561,1385,4,0,"Moderate negative association. Correlation indicates association, not causation."
algae_cover,mean_dead_coral,Algae cover,Mean dead coral,-0.099,-0.22,1385,4,1,"Little linear association. Correlation indicates association, not causation."
algae_cover,hard_coral_cover,Algae cover,Hard coral cover,-0.73,-0.741,1385,4,2,"Strong negative association. Correlation indicates association, not causation."
algae_cover,soft_coral_cover,Algae cover,Soft coral cover,-0.522,-0.459,1385,4,3,"Moderate negative association. Correlation indicates association, not causation."
algae_cover,algae_cover,Algae cover,Algae cover,1.0,1.0,1385,4,4,"This is the same indicator, so the correlation is 1.00."
algae_cover,mean_cots_per_tow,Algae cover,Mean COTS per tow,0.05,0.065,1385,4,5,"Little linear association. Correlation indicates association, not causation."
mean_cots_per_tow,mean_live_coral,Mean COTS per tow,Mean live coral,-0.064,-0.073,2646,5,0,"Little linear association. Correlation indicates association, not causation."
mean_cots_per_tow,mean_dead_coral,Mean COTS per tow,Mean dead coral,0.232,0.312,2646,5,1,"Weak positive association. Correlation indicates association, not causation."
mean_cots_per_tow,hard_coral_cover,Mean COTS per tow,Hard coral cover,-0.059,-0.092,1385,5,2,"Little linear association. Correlation indicates association, not causation."
mean_cots_per_tow,soft_coral_cover,Mean COTS per tow,Soft coral cover,0.036,-0.013,1385,5,3,"Little linear association. Correlation indicates association, not causation."
mean_cots_per_tow,algae_cover,Mean COTS per tow,Algae cover,0.05,0.065,1385,5,4,"Little linear association. Correlation indicates association, not causation."
mean_cots_per_tow,mean_cots_per_tow,Mean COTS per tow,Mean COTS per tow,1.0,1.0,2646,5,5,"This is the same indicator, so the correlation is 1.00."
